regime,rsi_threshold,dip_multiplier,max_dip_buys_per_week,base_size_pct,smart_final_eq,smart_return_pct,smart_apr_pct,smart_dd_pct,smart_sharpe,smart_trades,smart_2x_buys,smart_weeks_sat,smart_cost_basis,smart_btc,smart_cash_left,dca_final_eq,dca_cost_basis,dca_btc,bh_final_eq,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct,runtime_s
bull,40,1.5,5,0.015,45361.65407833667,353.6165407833667,1578.7995810644998,28.7687137566269,3.8561831981608936,67,1,0,13871.133132257071,0.7204890836754447,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.01211051101059,-22.226541284413457,-19.064784945107697,0.006
bull,40,2.0,2,0.005,26732.523417694523,167.32523417694526,526.0481755681037,23.363014495399145,3.284627174207676,193,7,3,23537.528911450037,0.4245985225381213,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.504269119247326,-54.166556563412,-102.03762672163468,0.006
bull,40,2.0,2,0.01,39360.2842742321,293.602842742321,1188.3443450789377,28.76871375662689,3.631146344244666,99,1,0,15986.102601193057,0.6251680130749404,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.123750818906856,-32.516009254220116,-37.218917169441454,0.006
bull,40,2.0,2,0.015,45558.854617523306,355.58854617523303,1592.4394474607943,28.7687137566269,3.8637152221379862,66,1,0,13811.092225702794,0.7236212630164696,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-15.646990291545626,-21.8884370352466,-18.549415540270108,0.006
bull,40,2.0,3,0.005,26824.44859361388,168.2444859361388,530.0700074943421,23.475903198588398,3.284908977605532,190,10,3,23456.867738552442,0.42605859023429626,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.33406806125596,-54.00894901978185,-101.34526041580358,0.006
bull,40,2.0,3,0.01,39360.2842742321,293.602842742321,1188.3443450789377,28.76871375662689,3.631146344244666,99,1,0,15986.102601193057,0.6251680130749404,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.123750818906856,-32.516009254220116,-37.218917169441454,0.006
bull,40,2.0,3,0.015,45558.854617523306,355.58854617523303,1592.4394474607943,28.7687137566269,3.8637152221379862,66,1,0,13811.092225702794,0.7236212630164696,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-15.646990291545626,-21.8884370352466,-18.549415540270108,0.006
bull,40,2.0,5,0.005,26868.767638560596,168.68767638560595,532.0132847370309,23.532601849042035,3.2848856346210162,189,11,0,23418.176497123044,0.4267625193288545,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.252010580662024,-53.932963135172685,-101.01314880703114,0.006
bull,40,2.0,5,0.01,39360.2842742321,293.602842742321,1188.3443450789377,28.76871375662689,3.631146344244666,99,1,0,15986.102601193057,0.6251680130749404,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.123750818906856,-32.516009254220116,-37.218917169441454,0.006
bull,40,2.0,5,0.015,45558.854617523306,355.58854617523303,1592.4394474607943,28.7687137566269,3.8637152221379862,66,1,0,13811.092225702794,0.7236212630164696,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-15.646990291545626,-21.8884370352466,-18.549415540270108,0.006
bull,40,3.0,2,0.005,27172.626021860648,171.72626021860648,545.4114294848472,23.662419420026264,3.2967134796888007,186,7,3,23156.30231372515,0.43158876856070316,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-49.68941151245265,-53.41199188954393,-98.76531562486399,0.006
bull,40,3.0,2,0.01,39787.632048751446,297.8763204875145,1214.5603054920575,28.768713756626894,3.650690465301896,98,1,0,15814.400365646918,0.6319556713455683,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.33250900048213,-31.783312989631064,-35.74508734206031,0.006
bull,40,3.0,2,0.015,45953.76206599472,359.53762065994715,1619.908073618904,28.768713756626894,3.878668448634003,65,1,0,13692.405464352918,0.7298936644856581,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-14.915812299594144,-21.2113603553017,-17.530651349831185,0.006
bull,40,3.0,3,0.005,27351.32678466827,173.51326784668268,553.351808301869,23.882276487592584,3.297417593305627,180,10,3,23005.009876621658,0.43442711190296796,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-49.35854394989937,-53.10560587516577,-97.46667611821414,0.006
bull,40,3.0,3,0.01,39787.632048751446,297.8763204875145,1214.5603054920575,28.768713756626894,3.650690465301896,98,1,0,15814.400365646918,0.6319556713455683,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.33250900048213,-31.783312989631064,-35.74508734206031,0.006
